iter	Passed	Remaining
796	5826	1484
797	5834	1476
798	5840	1469
799	5845	1461
800	5852	1453
801	5857	1446
802	5865	1439
803	5874	1431
804	5881	1424
805	5889	1417
806	5898	1410
807	5906	1403
808	5913	1396
809	5921	1388
810	5929	1381
811	5936	1374
812	5942	1366
813	5949	1359
814	5955	1351
815	5962	1344
816	5968	1336
817	5976	1329
818	5982	1322
819	5989	1314
820	5996	1307
821	6003	1299
822	6008	1292
823	6016	1285
824	6022	1277
825	6029	1270
826	6035	1262
827	6042	1255
828	6048	1247
829	6056	1240
830	6063	1233
831	6071	1226
832	6079	1218
833	6086	1211
834	6092	1203
835	6100	1196
836	6105	1189
837	6112	1181
838	6119	1174
839	6125	1166
840	6132	1159
841	6138	1151
842	6145	1144
843	6150	1136
844	6157	1129
845	6163	1121
846	6170	1114
847	6176	1107
848	6184	1099
849	6189	1092
850	6196	1084
851	6202	1077
852	6208	1069
853	6214	1062
854	6219	1054
855	6226	1047
856	6232	1039
857	6238	1032
858	6244	1025
859	6251	1017
860	6258	1010
861	6265	1003
862	6271	995
863	6278	988
864	6284	980
865	6290	973
866	6296	965
867	6301	958
868	6308	950
869	6314	943
870	6321	936
871	6327	928
872	6334	921
873	6341	914
874	6348	906
875	6355	899
876	6362	892
877	6369	885
878	6377	877
879	6384	870
880	6390	863
881	6396	855
882	6403	848
883	6408	840
884	6416	833
885	6421	826
886	6427	818
887	6433	811
888	6439	804
889	6445	796
890	6451	789
891	6458	781
892	6464	774
893	6472	767
894	6480	760
895	6489	753
896	6497	746
897	6505	738
898	6512	731
899	6520	724
900	6527	717
901	6535	710
902	6542	702
903	6549	695
904	6557	688
905	6564	681
906	6572	673
907	6580	666
908	6589	659
909	6596	652
910	6604	645
911	6612	638
912	6620	630
913	6628	623
914	6635	616
915	6643	609
916	6648	601
917	6655	594
918	6660	587
919	6667	579
920	6673	572
921	6680	565
922	6686	557
923	6691	550
924	6697	543
925	6702	535
926	6708	528
927	6714	520
928	6721	513
929	6726	506
930	6732	498
931	6738	491
932	6744	484
933	6752	477
934	6758	469
935	6765	462
936	6772	455
937	6779	448
938	6785	440
939	6793	433
940	6800	426
941	6807	419
942	6812	411
943	6819	404
944	6825	397
945	6831	389
946	6838	382
947	6844	375
948	6850	368
949	6856	360
950	6863	353
951	6869	346
952	6876	339
953	6883	331
954	6891	324
955	6899	317
956	6908	310
957	6919	303
958	6930	296
959	6939	289
960	6948	281
961	6957	274
962	6966	267
963	6974	260
964	6981	253
965	6995	246
966	7004	239
967	7015	231
968	7024	224
969	7033	217
970	7042	210
971	7051	203
972	7060	195
973	7070	188
974	7076	181
975	7083	174
976	7090	166
977	7098	159
978	7108	152
979	7115	145
980	7124	137
981	7131	130
982	7139	123
983	7150	116
984	7157	108
985	7165	101
986	7173	94
987	7180	87
988	7187	79
989	7192	72
990	7199	65
991	7205	58
992	7211	50
993	7216	43
994	7222	36
995	7228	29
996	7233	21
997	7241	14
998	7248	7
999	7254	0
